Station_Name,MICHIPICOTEN, ONTARIO
Station_Number,10750
Latitude_Decimal_Degrees,47.961217
Longitude_Decimal_Degrees,84.901093
Datum,CD
Time_zone,UTC
SLEV=Observed Water Level
Obs_date,SLEV(metres)
2013-01-01,-0.211,
2013-01-02,-0.278,
2013-01-03,-0.203,
2013-01-04,-0.17,
2013-01-05,-0.297,
2013-01-06,-0.279,
2013-01-07,-0.213,
2013-01-08,-0.268,
2013-01-09,-0.196,
2013-01-10,-0.306,
2013-01-11,-0.299,
2013-01-12,-0.236,
2013-01-13,-0.258,
2013-01-14,-0.246,
2013-01-15,-0.23,
2013-01-16,-0.204,
2013-01-17,-0.262,
2013-01-18,-0.303,
2013-01-19,-0.327,
2013-01-20,-0.246,
2013-01-21,-0.264,
2013-01-22,-0.279,
2013-01-23,-0.293,
2013-01-24,-0.296,
2013-01-25,-0.299,
2013-01-26,-0.302,
2013-01-27,-0.312,
2013-01-28,-0.315,
2013-01-29,-0.303,
2013-01-30,-0.291,
2013-01-31,-0.281,
2013-02-01,-0.28,
2013-02-02,-0.296,
2013-02-03,-0.27,
2013-02-04,-0.296,
2013-02-05,-0.297,
2013-02-06,-0.336,
2013-02-07,-0.36,
2013-02-08,-0.345,
2013-02-09,-0.35,
2013-02-10,-0.368,
2013-02-11,-0.293,
2013-02-12,-0.292,
2013-02-13,-0.292,
2013-02-14,-0.295,
2013-02-15,-0.302,
2013-02-16,-0.32,
2013-02-17,-0.343,
2013-02-18,-0.361,
2013-02-19,-0.262,
2013-02-20,-0.287,
2013-02-21,-0.33,
2013-02-22,-0.38,
2013-02-23,-0.334,
2013-02-24,-0.327,
2013-02-25,-0.341,
2013-02-26,-0.352,
2013-02-27,-0.362,
2013-02-28,-0.359,
2013-03-01,-0.372,
2013-03-02,-0.359,
2013-03-03,-0.362,
2013-03-04,-0.368,
2013-03-05,-0.389,
2013-03-06,-0.351,
2013-03-07,-0.35,
2013-03-08,-0.382,
2013-03-09,-0.401,
2013-03-10,-0.346,
2013-03-11,-0.403,
2013-03-12,-0.331,
2013-03-13,-0.318,
2013-03-14,-0.355,
2013-03-15,-0.336,
2013-03-16,-0.351,
2013-03-17,-0.371,
2013-03-18,-0.417,
2013-03-19,-0.302,
2013-03-20,-0.296,
2013-03-21,-0.326,
2013-03-22,-0.343,
2013-03-23,-0.351,
2013-03-24,-0.376,
2013-03-25,-0.371,
2013-03-26,-0.348,
2013-03-27,-0.348,
2013-03-28,-0.363,
2013-03-29,-0.378,
2013-03-30,-0.391,
2013-03-31,-0.322,
2013-04-01,-0.339,
2013-04-02,-0.342,
2013-04-03,-0.377,
2013-04-04,-0.345,
2013-04-05,-0.369,
2013-04-06,-0.426,
2013-04-07,-0.358,
2013-04-08,-0.396,
2013-04-09,-0.355,
2013-04-10,-0.385,
2013-04-11,-0.453,
2013-04-12,-0.434,
2013-04-13,-0.35,
2013-04-14,-0.38,
2013-04-15,-0.395,
2013-04-16,-0.324,
2013-04-17,-0.373,
2013-04-18,-0.383,
2013-04-19,-0.33,
2013-04-20,-0.293,
2013-04-21,-0.356,
2013-04-22,-0.312,
2013-04-23,-0.276,
2013-04-24,-0.3,
2013-04-25,-0.3,
2013-04-26,-0.327,
2013-04-27,-0.317,
2013-04-28,-0.327,
2013-04-29,-0.308,
2013-04-30,-0.324,
