% calculated on 2021-03-02 12:42 
% year doy   RH    numval month day RH-sigma
% year doy   (m)                      (m)
% (1)  (2)   (3)    (4)    (5)  (6)   (7)
 2019     1   2.613 181    1    1   0.088 
 2019     2   2.622 189    1    2   0.093 
 2019     3   2.619 186    1    3   0.088 
 2019     4   2.618 189    1    4   0.086 
 2019     5   2.624 183    1    5   0.091 
 2019     6   2.620 185    1    6   0.088 
 2019     7   2.619 188    1    7   0.091 
 2019     8   2.616 195    1    8   0.089 
 2019     9   2.619 196    1    9   0.092 
 2019    10   2.621 182    1   10   0.089 
 2019    11   2.624 189    1   11   0.092 
 2019    12   2.620 193    1   12   0.089 
 2019    13   2.616 189    1   13   0.088 
 2019    14   2.606 188    1   14   0.092 
 2019    15   2.608 190    1   15   0.092 
 2019    16   2.609 188    1   16   0.091 
 2019    17   2.589 184    1   17   0.097 
 2019    18   2.613 193    1   18   0.086 
 2019    19   2.616 190    1   19   0.089 
 2019    20   2.616 193    1   20   0.086 
 2019    21   2.615 192    1   21   0.086 
 2019    23   2.608 185    1   23   0.090 
 2019    24   2.613 183    1   24   0.093 
 2019    25   2.612 188    1   25   0.090 
 2019    26   2.611 181    1   26   0.088 
 2019    27   2.613 185    1   27   0.090 
 2019    28   2.613 187    1   28   0.091 
 2019    29   2.600 181    1   29   0.087 
 2019    30   2.604 185    1   30   0.089 
 2019    31   2.587 189    1   31   0.076 
 2019    32   2.590 176    2    1   0.086 
 2019    33   2.584 184    2    2   0.082 
 2019    34   2.566 189    2    3   0.072 
 2019    35   2.585 186    2    4   0.073 
 2019    36   2.577 188    2    5   0.083 
 2019    37   2.580 187    2    6   0.079 
 2019    38   2.555 188    2    7   0.077 
 2019    39   2.557 185    2    8   0.074 
 2019    40   2.561 192    2    9   0.078 
 2019    41   2.561 193    2   10   0.075 
 2019    42   2.563 191    2   11   0.076 
 2019    43   2.558 187    2   12   0.073 
 2019    44   2.561 192    2   13   0.077 
 2019    45   2.561 179    2   14   0.077 
 2019    46   2.560 189    2   15   0.074 
 2019    47   2.559 186    2   16   0.076 
 2019    48   2.558 190    2   17   0.074 
 2019    49   2.563 192    2   18   0.073 
 2019    50   2.550 188    2   19   0.084 
 2019    51   2.550 192    2   20   0.081 
 2019    52   2.554 192    2   21   0.080 
 2019    53   2.555 189    2   22   0.081 
 2019    54   2.558 190    2   23   0.079 
 2019    55   2.563 188    2   24   0.082 
 2019    56   2.552 191    2   25   0.075 
 2019    57   2.485 139    2   26   0.127 
 2019    58   2.360  89    2   27   0.114 
 2019    59   2.332  74    2   28   0.107 
 2019    60   2.359 104    3    1   0.100 
 2019    61   2.354 136    3    2   0.099 
 2019    62   2.472 172    3    3   0.102 
 2019    63   2.441 170    3    4   0.104 
 2019    64   2.399 172    3    5   0.104 
 2019    65   2.417 174    3    6   0.103 
 2019    66   2.401 172    3    7   0.103 
 2019    67   2.403 174    3    8   0.099 
 2019    68   2.398 181    3    9   0.100 
 2019    69   2.401 176    3   10   0.099 
 2019    70   2.401 176    3   11   0.098 
 2019    71   2.401 178    3   12   0.095 
 2019    72   2.406 172    3   13   0.094 
 2019    73   2.399 176    3   14   0.098 
 2019    74   2.395 181    3   15   0.091 
 2019    75   2.398 172    3   16   0.089 
 2019    76   2.399 180    3   17   0.090 
 2019    77   2.402 181    3   18   0.091 
 2019    78   2.401 174    3   19   0.086 
 2019    79   2.400 176    3   20   0.089 
 2019    80   2.389 187    3   21   0.092 
 2019    81   2.398 185    3   22   0.085 
 2019    82   2.397 185    3   23   0.088 
 2019    83   2.405 180    3   24   0.087 
 2019    84   2.407 180    3   25   0.085 
 2019    85   2.396 186    3   26   0.088 
 2019    86   2.399 188    3   27   0.086 
 2019    87   2.401 180    3   28   0.085 
 2019    88   2.400 185    3   29   0.085 
 2019    89   2.396 185    3   30   0.086 
 2019    90   2.397 182    3   31   0.086 
 2019    91   2.399 180    4    1   0.086 
 2019    92   2.400 183    4    2   0.085 
 2019    93   2.401 179    4    3   0.086 
