% Geoscience Australia GNSS Station mchl 
% FracYr Year DOY  VWC  
 2017.0055 2017   2    0.143 
 2017.0082 2017   3    0.143 
 2017.0110 2017   4    0.092 
 2017.0137 2017   5    0.078 
 2017.0164 2017   6    0.076 
 2017.0192 2017   7    0.075 
 2017.0219 2017   8    0.063 
 2017.0246 2017   9    0.060 
 2017.0274 2017  10    0.061 
 2017.0301 2017  11    0.054 
 2017.0329 2017  12    0.057 
 2017.0356 2017  13    0.133 
 2017.0383 2017  14    0.176 
 2017.0411 2017  15    0.163 
 2017.0438 2017  16    0.089 
 2017.0465 2017  17    0.077 
 2017.0493 2017  18    0.050 
 2017.0520 2017  19    0.050 
 2017.0548 2017  20    0.067 
 2017.0575 2017  21    0.054 
 2017.0602 2017  22    0.134 
 2017.0630 2017  23    0.110 
 2017.0657 2017  24    0.066 
 2017.0684 2017  25    0.069 
 2017.0712 2017  26    0.058 
 2017.0739 2017  27    0.048 
 2017.0767 2017  28    0.048 
 2017.0794 2017  29    0.069 
 2017.0821 2017  30    0.057 
 2017.0849 2017  31    0.061 
 2017.1013 2017  37    0.051 
 2017.1040 2017  38    0.061 
 2017.1068 2017  39    0.055 
 2017.1095 2017  40    0.064 
 2017.1123 2017  41    0.054 
 2017.1150 2017  42    0.053 
 2017.1177 2017  43    0.067 
 2017.1205 2017  44    0.056 
 2017.1232 2017  45    0.049 
 2017.1259 2017  46    0.048 
 2017.1287 2017  47    0.041 
 2017.1314 2017  48    0.132 
 2017.1342 2017  49    0.167 
 2017.1369 2017  50    0.207 
 2017.1396 2017  51    0.158 
 2017.1424 2017  52    0.103 
 2017.1451 2017  53    0.104 
 2017.1478 2017  54    0.048 
 2017.1506 2017  55    0.066 
 2017.1533 2017  56    0.147 
 2017.1561 2017  57    0.089 
 2017.1588 2017  58    0.070 
 2017.1615 2017  59    0.064 
 2017.1643 2017  60    0.057 
 2017.1670 2017  61    0.067 
 2017.1697 2017  62    0.140 
 2017.1725 2017  63    0.139 
 2017.1752 2017  64    0.102 
 2017.1780 2017  65    0.073 
 2017.1807 2017  66    0.071 
 2017.1834 2017  67    0.064 
 2017.1862 2017  68    0.073 
 2017.1889 2017  69    0.062 
 2017.1916 2017  70    0.073 
 2017.1944 2017  71    0.117 
 2017.1971 2017  72    0.112 
 2017.1999 2017  73    0.071 
 2017.2026 2017  74    0.145 
 2017.2053 2017  75    0.097 
 2017.2081 2017  76    0.067 
 2017.2108 2017  77    0.055 
 2017.2136 2017  78    0.062 
 2017.2163 2017  79    0.052 
 2017.2190 2017  80    0.155 
 2017.2218 2017  81    0.163 
 2017.2245 2017  82    0.123 
 2017.2272 2017  83    0.104 
 2017.2300 2017  84    0.072 
 2017.2327 2017  85    0.072 
