Station_Name,Montreal jetee #1
Station_Number,15520
Latitude_Decimal_Degrees,45.5035
Longitude_Decimal_Degrees,73.5525
Datum,CD
Time_zone,UTC
SLEV=Observed Water Level
Obs_date,SLEV(metres)
2020/09/26,0.909,
2020/09/27,0.851,
2020/09/28,0.822,
2020/09/29,0.778,
2020/09/30,0.796,
2020/10/01,0.786,
2020/10/02,0.859,
2020/10/03,0.924,
2020/10/04,0.951,
2020/10/05,0.959,
2020/10/06,0.921,
2020/10/07,0.913,
2020/10/08,0.93,
2020/10/09,0.683,
2020/10/10,0.432,
2020/10/11,0.339,
2020/10/12,0.325,
2020/10/13,0.649,
2020/10/14,0.834,
2020/10/15,0.849,
2020/10/16,0.932,
2020/10/17,1.036,
2020/10/18,1.06,
2020/10/19,1.049,
2020/10/20,1.157,
2020/10/21,1.263,
2020/10/22,1.348,
2020/10/23,1.379,
2020/10/24,1.315,
2020/10/25,1.292,
2020/10/26,1.242,
