"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas"
"NWT","sdl",1,1992-10-30,8,NaN,NaN,NaN,NaN,8,1
"NWT","sdl",2,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",3,1992-10-30,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",4,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",5,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",6,1992-10-30,8,NaN,NaN,NaN,NaN,8,1
"NWT","sdl",7,1992-10-30,9,NaN,NaN,NaN,NaN,9,1
"NWT","sdl",8,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",9,1992-10-30,8,NaN,NaN,NaN,NaN,8,1
"NWT","sdl",10,1992-10-30,2,NaN,NaN,NaN,NaN,2,1
"NWT","sdl",11,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",12,1992-10-30,4,NaN,NaN,NaN,NaN,4,1
"NWT","sdl",13,1992-10-30,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",14,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",15,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",16,1992-10-30,4,NaN,NaN,NaN,NaN,4,1
"NWT","sdl",17,1992-10-30,12,NaN,NaN,NaN,NaN,12,1
"NWT","sdl",18,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",19,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",20,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",21,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",22,1992-10-30,22,NaN,NaN,NaN,NaN,22,1
"NWT","sdl",23,1992-10-30,11,NaN,NaN,NaN,NaN,11,1
"NWT","sdl",24,1992-10-30,3,NaN,NaN,NaN,NaN,3,1
"NWT","sdl",25,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",26,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",27,1992-10-30,35,NaN,NaN,NaN,NaN,35,1
"NWT","sdl",28,1992-10-30,12,NaN,NaN,NaN,NaN,12,1
"NWT","sdl",29,1992-10-30,3,NaN,NaN,NaN,NaN,3,1
"NWT","sdl",30,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",31,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",32,1992-10-30,8,NaN,NaN,NaN,NaN,8,1
"NWT","sdl",33,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",34,1992-10-30,4,NaN,NaN,NaN,NaN,4,1
"NWT","sdl",35,1992-10-30,4,NaN,NaN,NaN,NaN,4,1
"NWT","sdl",36,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",37,1992-10-30,68,NaN,NaN,NaN,NaN,68,1
"NWT","sdl",38,1992-10-30,9,NaN,NaN,NaN,NaN,9,1
"NWT","sdl",39,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",40,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",41,1992-10-30,13,NaN,NaN,NaN,NaN,13,1
"NWT","sdl",42,1992-10-30,9,NaN,NaN,NaN,NaN,9,1
"NWT","sdl",43,1992-10-30,8,NaN,NaN,NaN,NaN,8,1
"NWT","sdl",44,1992-10-30,15,NaN,NaN,NaN,NaN,15,1
"NWT","sdl",45,1992-10-30,4,NaN,NaN,NaN,NaN,4,1
"NWT","sdl",46,1992-10-30,9,NaN,NaN,NaN,NaN,9,1
"NWT","sdl",47,1992-10-30,38,NaN,NaN,NaN,NaN,38,1
"NWT","sdl",48,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",49,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",50,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",51,1992-10-30,17,NaN,NaN,NaN,NaN,17,1
"NWT","sdl",52,1992-10-30,13,NaN,NaN,NaN,NaN,13,1
"NWT","sdl",53,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",54,1992-10-30,24,NaN,NaN,NaN,NaN,24,1
"NWT","sdl",55,1992-10-30,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",56,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",57,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",58,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",59,1992-10-30,8,NaN,NaN,NaN,NaN,8,1
"NWT","sdl",60,1992-10-30,20,NaN,NaN,NaN,NaN,20,1
"NWT","sdl",61,1992-10-30,16,NaN,NaN,NaN,NaN,16,1
"NWT","sdl",62,1992-10-30,11,NaN,NaN,NaN,NaN,11,1
"NWT","sdl",63,1992-10-30,30,NaN,NaN,NaN,NaN,30,1
"NWT","sdl",64,1992-10-30,8,NaN,NaN,NaN,NaN,8,1
"NWT","sdl",65,1992-10-30,26,NaN,NaN,NaN,NaN,26,1
"NWT","sdl",66,1992-10-30,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",67,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",68,1992-10-30,7,NaN,NaN,NaN,NaN,7,1
"NWT","sdl",69,1992-10-30,9,NaN,NaN,NaN,NaN,9,1
"NWT","sdl",70,1992-10-30,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",71,1992-10-30,13,NaN,NaN,NaN,NaN,13,1
"NWT","sdl",72,1992-10-30,6,NaN,NaN,NaN,NaN,6,1
"NWT","sdl",73,1992-10-30,11,NaN,NaN,NaN,NaN,11,1
"NWT","sdl",74,1992-10-30,13,NaN,NaN,NaN,NaN,13,1
"NWT","sdl",75,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",76,1992-10-30,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",77,1992-10-30,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",78,1992-10-30,15,NaN,NaN,NaN,NaN,15,1
"NWT","sdl",79,1992-10-30,3,NaN,NaN,NaN,NaN,3,1
"NWT","sdl",80,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",101,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",201,1992-10-30,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",301,1992-10-30,25,NaN,NaN,NaN,NaN,25,1
"NWT","sdl",401,1992-10-30,8,NaN,NaN,NaN,NaN,8,1
"NWT","sdl",501,1992-10-30,12,NaN,NaN,NaN,NaN,12,1
"NWT","sdl",601,1992-10-30,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",701,1992-10-30,23,NaN,NaN,NaN,NaN,23,1
"NWT","sdl",801,1992-10-30,9,NaN,NaN,NaN,NaN,9,1
"NWT","sdl",1,1992-11-14,50,NaN,NaN,NaN,NaN,50,1
"NWT","sdl",2,1992-11-14,30,NaN,NaN,NaN,NaN,30,1
"NWT","sdl",3,1992-11-14,30,NaN,NaN,NaN,NaN,30,1
"NWT","sdl",4,1992-11-14,30,NaN,NaN,NaN,NaN,30,1
"NWT","sdl",5,1992-11-14,25,NaN,NaN,NaN,NaN,25,1
"NWT","sdl",6,1992-11-14,30,NaN,NaN,NaN,NaN,30,1
"NWT","sdl",7,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",8,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",9,1992-11-14,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",10,1992-11-14,1,NaN,NaN,NaN,NaN,1,1
"NWT","sdl",11,1992-11-14,35,NaN,NaN,NaN,NaN,35,1
"NWT","sdl",12,1992-11-14,20,NaN,NaN,NaN,NaN,20,1
"NWT","sdl",13,1992-11-14,90,NaN,NaN,NaN,NaN,90,1
"NWT","sdl",14,1992-11-14,15,NaN,NaN,NaN,NaN,15,1
"NWT","sdl",15,1992-11-14,25,NaN,NaN,NaN,NaN,25,1
"NWT","sdl",16,1992-11-14,20,NaN,NaN,NaN,NaN,20,1
"NWT","sdl",17,1992-11-14,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",18,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",19,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",20,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",21,1992-11-14,70,NaN,NaN,NaN,NaN,70,1
"NWT","sdl",22,1992-11-14,25,NaN,NaN,NaN,NaN,25,1
"NWT","sdl",23,1992-11-14,100,NaN,NaN,NaN,NaN,100,1
"NWT","sdl",24,1992-11-14,80,NaN,NaN,NaN,NaN,80,1
"NWT","sdl",25,1992-11-14,25,NaN,NaN,NaN,NaN,25,1
"NWT","sdl",26,1992-11-14,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",27,1992-11-14,20,NaN,NaN,NaN,NaN,20,1
"NWT","sdl",28,1992-11-14,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",29,1992-11-14,1,NaN,NaN,NaN,NaN,1,1
"NWT","sdl",30,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",31,1992-11-14,35,NaN,NaN,NaN,NaN,35,1
"NWT","sdl",32,1992-11-14,20,NaN,NaN,NaN,NaN,20,1
"NWT","sdl",33,1992-11-14,40,NaN,NaN,NaN,NaN,40,1
"NWT","sdl",34,1992-11-14,90,NaN,NaN,NaN,NaN,90,1
"NWT","sdl",35,1992-11-14,25,NaN,NaN,NaN,NaN,25,1
"NWT","sdl",36,1992-11-14,10,NaN,NaN,NaN,NaN,10,1
"NWT","sdl",37,1992-11-14,60,NaN,NaN,NaN,NaN,60,1
"NWT","sdl",38,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",39,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",40,1992-11-14,5,NaN,NaN,NaN,NaN,5,1
"NWT","sdl",41,1992-11-14,50,NaN,NaN,NaN,NaN,50,1
"NWT","sdl",42,1992-11-14,70,NaN,NaN,NaN,NaN,70,1
"NWT","sdl",43,1992-11-14,100,NaN,NaN,NaN,NaN,100,1
