% calculated on 2021-04-23 08:29 
% year doy   RH    numval month day RH-sigma
% year doy   (m)                      (m)
% (1)  (2)   (3)    (4)    (5)  (6)   (7)
 2020   130   4.387 113    5    9   0.074 
 2020   131   4.391 109    5   10   0.080 
 2020   132   4.406 116    5   11   0.092 
 2020   133   4.418 114    5   12   0.084 
 2020   134   4.422 118    5   13   0.086 
 2020   135   4.428 128    5   14   0.075 
 2020   136   4.429 129    5   15   0.078 
 2020   137   4.430 134    5   16   0.091 
 2020   138   4.443 121    5   17   0.088 
 2020   139   4.442 128    5   18   0.071 
 2020   140   4.458 125    5   19   0.074 
 2020   141   4.482 121    5   20   0.075 
 2020   142   4.493 120    5   21   0.086 
 2020   148   4.465 118    5   27   0.074 
 2020   149   4.488 115    5   28   0.074 
 2020   150   4.487 112    5   29   0.078 
 2020   151   4.506  90    5   30   0.077 
 2020   156   4.487  94    6    4   0.076 
 2020   157   4.453 105    6    5   0.080 
 2020   161   4.460  97    6    9   0.072 
 2020   162   4.472 109    6   10   0.072 
 2020   163   4.484  62    6   11   0.078 
 2020   164   4.473 102    6   12   0.085 
 2020   165   4.475 110    6   13   0.079 
 2020   166   4.464  64    6   14   0.076 
 2020   172   4.406 109    6   20   0.072 
 2020   180   4.308 110    6   28   0.083 
 2020   181   4.293 101    6   29   0.077 
 2020   182   4.294  90    6   30   0.088 
 2020   184   4.354  57    7    2   0.060 
 2020   185   4.328 117    7    3   0.071 
 2020   186   4.344 105    7    4   0.077 
 2020   187   4.363  62    7    5   0.083 
 2020   188   4.346  77    7    6   0.093 
 2020   189   4.308  63    7    7   0.084 
 2020   190   4.297  57    7    8   0.091 
 2020   191   4.324  70    7    9   0.079 
 2020   192   4.316  98    7   10   0.076 
 2020   193   4.311  83    7   11   0.088 
 2020   194   4.313  66    7   12   0.089 
 2020   195   4.283 117    7   13   0.077 
 2020   196   4.256 117    7   14   0.078 
 2020   199   4.243  96    7   17   0.078 
 2020   200   4.232 118    7   18   0.077 
 2020   201   4.224 120    7   19   0.080 
 2020   202   4.230 100    7   20   0.074 
 2020   203   4.217 100    7   21   0.079 
 2020   206   4.201  76    7   24   0.083 
 2020   207   4.200  90    7   25   0.075 
 2020   208   4.208 119    7   26   0.080 
 2020   209   4.217 122    7   27   0.082 
 2020   210   4.235 108    7   28   0.080 
 2020   211   4.248 115    7   29   0.075 
 2020   212   4.253 123    7   30   0.079 
 2020   213   4.248 108    7   31   0.074 
 2020   214   4.264 102    8    1   0.079 
 2020   215   4.279 126    8    2   0.078 
 2020   216   4.283 123    8    3   0.082 
 2020   217   4.297 121    8    4   0.077 
 2020   218   4.306 114    8    5   0.069 
 2020   219   4.306 107    8    6   0.075 
 2020   220   4.299 103    8    7   0.080 
 2020   221   4.307  92    8    8   0.078 
 2020   223   4.309  95    8   10   0.088 
 2020   224   4.317 115    8   11   0.070 
 2020   225   4.320 111    8   12   0.082 
 2020   226   4.333  87    8   13   0.082 
 2020   227   4.356 105    8   14   0.079 
 2020   228   4.365 106    8   15   0.069 
 2020   229   4.377 104    8   16   0.080 
 2020   230   4.391 112    8   17   0.076 
 2020   231   4.424  98    8   18   0.084 
 2020   232   4.406  96    8   19   0.083 
 2020   233   4.402  77    8   20   0.078 
 2020   234   4.392  51    8   21   0.089 
 2020   235   4.383 111    8   22   0.071 
 2020   236   4.358  92    8   23   0.086 
 2020   237   4.355  80    8   24   0.073 
 2020   238   4.333  70    8   25   0.086 
 2020   239   4.329  62    8   26   0.080 
 2020   240   4.321  84    8   27   0.074 
 2020   245   4.286  98    9    1   0.078 
 2020   246   4.308  78    9    2   0.098 
 2020   247   4.334 105    9    3   0.083 
 2020   249   4.336  69    9    5   0.080 
 2020   250   4.359  76    9    6   0.092 
 2020   251   4.359 106    9    7   0.084 
 2020   252   4.361  99    9    8   0.082 
 2020   254   4.385  80    9   10   0.073 
 2020   255   4.390  97    9   11   0.078 
 2020   256   4.423  54    9   12   0.074 
 2020   260   4.429  52    9   16   0.094 
 2020   263   4.393 101    9   19   0.074 
 2020   264   4.400  92    9   20   0.079 
 2020   265   4.381 102    9   21   0.076 
 2020   266   4.395  91    9   22   0.087 
 2020   268   4.340  83    9   24   0.079 
 2020   269   4.316  86    9   25   0.087 
 2020   274   4.124  72    9   30   0.079 
 2020   275   4.133 104   10    1   0.084 
 2020   276   4.119  94   10    2   0.088 
 2020   278   4.091  77   10    4   0.081 
 2020   279   4.090  95   10    5   0.082 
 2020   280   4.089  73   10    6   0.093 
 2020   281   4.097  67   10    7   0.086 
 2020   282   4.102  64   10    8   0.084 
 2020   283   4.100  93   10    9   0.079 
 2020   284   4.094  96   10   10   0.082 
 2020   285   4.121  76   10   11   0.081 
 2020   286   4.091  85   10   12   0.091 
 2020   287   4.058  64   10   13   0.083 
 2020   288   4.051  87   10   14   0.069 
 2020   289   4.031 103   10   15   0.075 
 2020   290   4.018  92   10   16   0.082 
 2020   291   4.021 103   10   17   0.083 
 2020   292   3.993  95   10   18   0.081 
 2020   293   4.000  75   10   19   0.086 
 2020   294   3.974  94   10   20   0.078 
 2020   295   3.975 102   10   21   0.081 
 2020   296   3.970 100   10   22   0.079 
 2020   297   3.948 103   10   23   0.078 
 2020   298   3.940 102   10   24   0.079 
 2020   299   3.919  99   10   25   0.078 
 2020   300   3.913 103   10   26   0.081 
 2020   301   3.911  97   10   27   0.098 
 2020   302   3.916 102   10   28   0.077 
 2020   303   3.888 104   10   29   0.079 
 2020   304   3.891  89   10   30   0.081 
 2020   305   3.890  52   10   31   0.071 
 2020   306   3.845  61   11    1   0.073 
 2020   307   3.848  82   11    2   0.072 
 2020   308   3.839  89   11    3   0.080 
 2020   309   3.841  96   11    4   0.074 
 2020   311   3.791  98   11    6   0.072 
 2020   312   3.777  73   11    7   0.089 
 2020   313   3.750  69   11    8   0.089 
 2020   314   3.701  97   11    9   0.082 
 2020   315   3.684 105   11   10   0.083 
 2020   316   3.683  92   11   11   0.082 
 2020   317   3.664  97   11   12   0.073 
 2020   318   3.648  89   11   13   0.088 
