% amp_lsp amp_dsnr delta_heff veg_correction slope_correction
  0.6465   0.4308   0.0950 -84.5238   0.4889
  0.5804   0.3742   0.0950 -103.8922   0.4641
  0.4824   0.5102  -0.0534  -6.3819  -2.1661
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7129   0.6265   0.0475 -30.6471   0.5578
  0.8844   0.8232   0.0297 -16.1225   0.1743
  0.9642   0.9663   0.0000  -1.9832   0.0618
  0.3963   0.1289   0.7360 -143.6662   0.1507
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.9127   0.9251  -0.0059  -3.1810   0.1942
  0.6049   0.4101   0.0890 -92.2022   0.4572
  0.6410   0.3583   0.1365 -70.3066   0.9462
  0.9415   0.9520  -0.0059   2.4688   0.1659
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8132   0.7056   0.0475 -28.1571   0.3071
  0.6119   0.3580   0.1246 -75.5507   0.8126
  0.8827   0.8679   0.0119  -8.8697   0.2014
  0.4228   0.2628   0.0950 -135.3572   0.5135
  0.7946   0.6414   0.0653 -41.0170   0.3858
  0.6789   0.4834   0.0890 -58.6641   0.5391
  0.6876   0.6858   0.0000 -23.4713   0.4461
  0.9285   0.9211   0.0059  -5.7697   0.1348
  0.5935   0.3011   0.1662 -61.2490   1.1382
  0.6211   0.2739   0.1721 -65.9331   1.1700
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.5597   0.3281   0.1009 -116.3146   0.5051
  0.6441   0.3726   0.1246 -80.8634   0.8077
  0.8594   0.7817   0.0356 -20.4485   0.2148
  0.5619   0.5431   0.0178 -33.8540   0.6351
  0.6942   0.5483   0.0772 -41.5153   0.5428
  0.8640   0.8261   0.0237 -13.5452   0.2416
  0.3267   0.1922   0.5638 -159.6271   0.6438
  0.4108   0.4327  -0.0415 -33.5738   0.6746
  0.3812   0.2502   0.0890 -133.4440   0.5878
  0.6536   0.4632   0.1068 -49.6565   0.8059
  0.6740   0.4910   0.0772 -71.7187   0.4005
  0.5922   0.3036   0.1662 -59.7754   1.1240
  0.8323   0.8527  -0.0119  -7.4061   0.2757
  0.9816   0.9732   0.0059  -2.7857   0.0402
  0.6562   0.5671   0.0534 -32.1457   0.6274
  0.7992   0.8227  -0.0178  -3.9641   0.1621
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.9761   0.9664   0.0059  -3.3300   0.0503
  0.6815   0.5667   0.0653 -37.5683   0.6619
  0.6638   0.4188   0.1068 -74.8663   0.6817
  0.6224   0.3882   0.1187 -68.8635   0.7696
  0.6717   0.4805   0.0890 -59.2564   0.5162
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0258   1.0249   0.0000   2.6337   0.1005
  0.4875   0.5145  -0.0475 -22.3916   0.4486
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6316   0.3692   0.1187 -85.3430   0.7240
  0.7680   0.6379   0.0594 -34.5476   0.4210
  0.6152   0.4056   0.1246 -51.9959   0.9378
  0.7516   0.5886   0.0653 -53.4172   0.3442
  0.7372   0.5703   0.0712 -48.7391   0.4250
  0.5537   0.4601   0.0772 -46.2275   0.8187
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7765   0.6441   0.0594 -37.7850   0.3285
  0.8650   0.8200   0.0237 -14.1787   0.2260
  1.0145   1.0142   0.0000   2.6102   0.1409
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7893   0.6673   0.0594 -32.9800   0.4154
  0.6725   0.1776   0.1959 -83.8086   1.3717
  0.9767   0.9704   0.0059  -2.4158   0.0456
  0.6515   0.4530   0.0890 -62.9721   0.5401
  0.6385   0.3778   0.1246 -73.9411   0.8304
  0.8325   0.7329   0.0475 -27.0890   0.2481
  0.7347   0.1627   0.2018 -159.1695   1.2805
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6193   0.1749   0.4273 -188.6504  -1.1792
  0.7670   0.7064   0.0356 -23.1469   0.4340
  0.7200   0.5696   0.0772 -42.0347   0.5881
  0.7511   0.6652   0.0475 -26.6542   0.4282
  0.8015   0.8222  -0.0119   3.0018  -1.6248
  0.5955   0.5046   0.0653 -36.2913   0.7313
  0.6188   0.3177   0.1603 -61.7149   1.0918
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0338   1.0326   0.0000   3.5304   0.1184
  0.7225   0.5786   0.0712 -40.0825   0.5155
  0.6599   0.4516   0.0890 -75.7669   0.4888
  0.9886   0.9933   0.0000   4.3409   0.1659
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.5985   0.6301  -0.0415 -11.7081   0.0665
  0.8135   0.6986   0.0475 -32.4281   0.2645
  0.7773   0.7933  -0.0119 -15.0461   0.3433
  0.6764   0.5833   0.0534 -33.4298   0.6218
  0.8421   0.7617   0.0356 -20.8924   0.2488
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7341   0.6540   0.0475 -29.0184   0.5218
  0.9499   0.9476   0.0059  -3.4927   0.0892
  0.5063   0.3065   0.1009 -120.2613   0.4790
  0.9662   0.9704   0.0000  -2.0435   0.0864
  0.7287   0.5424   0.0831 -50.9966   0.5404
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8163   0.7001   0.0534 -30.9988   0.3025
  0.8130   0.7386   0.0356 -22.8710   0.3486
  0.9292   0.9376   0.0000  -2.8935   0.1208
  1.0476   1.0476   0.0000   6.6603   0.0158
  0.7668   0.6322   0.0594 -39.1899   0.3307
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8332   0.7707   0.0356 -20.5453   0.3287
  1.0060   1.0057   0.0000   0.5725   0.0417
  0.5274   0.3011   0.1009 -157.3215   0.1195
  0.6338   0.4111   0.1068 -68.3993   0.6640
  0.8768   0.8951  -0.0119  -3.6141   0.2722
  0.7327   0.6146   0.0653 -35.2922   0.5662
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7103   0.4912   0.0950 -62.4877   0.6026
  0.5997   0.3057   0.1246 -121.0936   0.6740
  0.8073   0.6734   0.0594 -38.8284   0.2925
  0.9251   0.9390  -0.0059   4.6449  -0.3718
  1.0747   1.0724   0.0059   6.8831  -0.0099
  0.7722   0.6304   0.0653 -38.2752   0.4765
  1.0567   1.0544   0.0059   3.8433   0.1213
  0.5639   0.2674   0.1306 -131.9195   0.6398
  0.6947   0.5724   0.0712 -36.5919   0.5948
  0.8588   0.8334   0.0178 -11.5495   0.2447
  0.6189   0.2862   0.1424 -119.5574   0.8510
  0.8141   0.7436   0.0356 -21.6761   0.3330
  0.8525   0.7654   0.0415 -23.5544   0.2130
  0.3883   0.2522   0.0950 -129.1995   0.6357
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.9856   0.9817   0.0059  -2.5333   0.0536
  0.7267   0.5666   0.0772 -43.8344   0.5209
  0.6702   0.4671   0.1068 -52.7164   0.7862
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7517   0.5927   0.0653 -49.3426   0.3610
  0.8367   0.7812   0.0297 -17.1788   0.2715
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6595   0.2947   0.1662 -72.2241   1.1463
  0.7022   0.4880   0.0950 -60.9110   0.6124
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6832   0.6834   0.0000 -22.4117   0.4393
  0.8458   0.8459   0.0000 -11.3986   0.2556
  0.4340   0.1908   0.2018 -67.5353   1.3026
  0.9723   0.9643   0.0059  -2.9743   0.0527
  0.9917   0.9929   0.0000  -0.4366   0.0243
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6455   0.3674   0.1365 -66.7629   0.9537
  0.3421   0.2023   0.5342 -161.3641   0.5889
  0.7602   0.5960   0.0712 -43.8588   0.4571
  0.3795   0.2419   0.0890 -143.5016   0.5729
  0.7182   0.5339   0.0772 -63.2248   0.4058
  0.6321   0.4214   0.0950 -86.7864   0.4751
  0.6739   0.7026  -0.0297 -14.0865   0.3249
  0.7049   0.7268  -0.0178 -15.5326   0.3518
  0.6700   0.5166   0.0890 -43.1246   0.7163
  0.8034   0.8244  -0.0119  -8.5294   0.2662
  0.9902   0.9916   0.0000  -0.8416   0.0401
  0.4215   0.4444  -0.0415 -34.9399   0.6386
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6539   0.4602   0.0831 -81.1027   0.4194
  0.7185   0.7483  -0.0237  -4.5023  -0.0957
  0.6931   0.6185   0.0475 -30.2653   0.5700
  0.6924   0.5113   0.0772 -68.4902   0.3906
  0.9079   0.9106   0.0000  -6.6312   0.1686
  0.8130   0.8322  -0.0119 -10.3887   0.2989
  0.8293   0.7316   0.0475 -25.9258   0.2664
  0.6391   0.4572   0.0831 -76.3259   0.4192
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8266   0.8503  -0.0119  -2.3553   0.1717
  0.9871   0.9861   0.0000  -1.8407   0.0462
  0.4849   0.0209   0.2077  11.0020   1.6144
  0.7774   0.6272   0.0653 -39.3182   0.4512
  0.8554   0.8757  -0.0119  -2.8063   0.2332
  0.8048   0.8243  -0.0119  -9.9461   0.2851
  0.4202   0.2406   0.4986 -168.2883   0.1131
  0.7875   0.6901   0.0475 -27.4763   0.3809
  0.8948   0.9096  -0.0059  -3.0478   0.2074
  0.4564   0.2731   0.0950 -126.6408   0.4682
  0.6686   0.4930   0.0890 -49.9141   0.6439
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0557   1.0555   0.0000   6.6650  -0.1125
  0.6254   0.4425   0.0831 -79.2132   0.4263
  0.7833   0.7847   0.0000 -16.5805   0.3402
  0.6810   0.4900   0.0950 -53.1556   0.6710
  0.8296   0.7207   0.0475 -27.9559   0.3078
  0.4234   0.2694   0.0890 -132.4067   0.5421
  0.9571   0.9610   0.0000  -2.5130   0.0856
  0.7383   0.5470   0.0831 -52.5370   0.5238
  0.4685   0.2873   0.4689 -182.8455  -0.4755
  0.6492   0.6806  -0.0356 -13.1978   0.2558
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6631   0.5473   0.0712 -38.9201   0.6939
  0.5735   0.4545   0.0890 -41.0338   0.8198
  0.5392   0.5229   0.0178 -37.0066   0.6618
  0.6210   0.3910   0.1306 -54.3857   0.9687
  0.8488   0.7540   0.0415 -24.2415   0.2780
  0.7815   0.6430   0.0594 -38.1534   0.3552
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7315   0.5673   0.0712 -46.1414   0.4505
  0.7293   0.1472   0.2018 -134.7703   1.3957
  0.8484   0.8213   0.0178 -14.1873   0.2870
  0.5446   0.4609   0.0712 -44.6892   0.8110
  0.4927   0.3144   0.0950 -115.7820   0.5453
  0.6970   0.5341   0.0831 -45.2001   0.6459
  0.6192   0.4142   0.1187 -51.2203   0.9155
  0.6739   0.6274   0.0297 -26.0520   0.5356
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8251   0.7057   0.0534 -30.8406   0.3211
  1.0095   1.0091   0.0000   1.1826   0.0798
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7934   0.7987   0.0000 -12.4930   0.2863
  0.5828   0.2929   0.1246 -120.3466   0.6714
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8487   0.8667  -0.0119  -7.8248   0.2746
  0.7680   0.6214   0.0653 -38.6019   0.4399
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.5365   0.3299   0.1009 -116.1682   0.4806
  0.7501   0.6398   0.0534 -31.2338   0.4355
  0.9910   0.9838   0.0059  -2.2754   0.0277
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.9728   0.9771   0.0000  -0.1164   0.1129
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.5464   0.4440   0.0831 -39.8104   0.8272
  0.7839   0.6595   0.0594 -32.8129   0.3660
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6502   0.3945   0.1306 -58.7491   0.9532
  0.8341   0.7859   0.0237 -16.6113   0.2928
  0.8142   0.7531   0.0297 -19.3113   0.3134
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7380   0.7533  -0.0119 -14.7749   0.3332
  0.6734   0.6182   0.0356 -28.4036   0.5597
  0.7037   0.5254   0.0772 -60.2289   0.4130
  0.7557   0.6991   0.0297 -22.8525   0.4426
  0.7108   0.5118   0.0890 -58.8741   0.5183
  0.6714   0.4368   0.1068 -67.0239   0.7234
  0.8577   0.2191   0.1899 -210.7078   0.7307
  0.8720   0.8624   0.0059 -10.1354   0.2256
  0.7022   0.5386   0.0712 -57.7756   0.3636
  0.7459   0.5562   0.0772 -56.5362   0.4540
  0.5930   0.3944   0.1246 -50.2540   0.9421
  0.5850   0.3865   0.0890 -97.9292   0.4500
  0.5671   0.5146   0.0415 -40.7371   0.7098
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6609   0.4211   0.1068 -73.7025   0.6638
  0.7189   0.1187   0.2018 -110.4214   1.4677
  0.7190   0.7095   0.0059 -23.5881   0.4360
  0.6748   0.2209   0.1840 -86.5140   1.2698
  1.0000   1.0000   0.0000   0.0000   0.0017
